,Price,company,name,year,kms_driven,transmission,fuel_type
216,398.000.000 đ,Hyundai,Accent,2021.0,29000.0,Số sàn,Xăng
217,96.000.000 đ,BMW,3 Series,1999.0,12345.0,Số sàn,Xăng
218,518.000.000 đ,Mitsubishi,Xpander,2020.0,67000.0,Tự động,Xăng
219,450.000.000 đ,Kia,Cerato,2017.0,64000.0,Tự động,Xăng
220,95.000.000 đ,Daewoo,Magnus,2004.0,56789.0,Tự động,Xăng
221,355.000.000 đ,Hyundai,Tucson,2010.0,150000.0,Tự động,Xăng
222,383.000.000 đ,Toyota,Camry,2007.0,80000.0,Tự động,Xăng
223,560.000.000 đ,Chevrolet,Colorado,2018.0,70000.0,Tự động,Xăng
224,239.000.000 đ,Toyota,Camry,2003.0,120.0,Số sàn,Xăng
225,616.000.000 đ,Mitsubishi,Outlander,2018.0,73000.0,Tự động,Xăng
226,192.000.000 đ,Chevrolet,Cruze,2010.0,90000.0,Số sàn,Xăng
227,140.000.000 đ,Toyota,Camry,2000.0,150000.0,Số sàn,Xăng
228,445.000.000 đ,Toyota,Fortuner,2014.0,120000.0,Tự động,Xăng
229,489.000.000 đ,Ford,EcoSport,2019.0,38000.0,Tự động,Xăng
230,890.000.000 đ,Honda,CR V,2020.0,18200.0,Tự động,Xăng
231,405.000.000 đ,Mazda,3,2016.0,89000.0,Tự động,Xăng
232,580.000.000 đ,Hyundai,Kona,2020.0,30000.0,Tự động,Xăng
233,730.000.000 đ,Hyundai,Tucson,2019.0,5200.0,Tự động,Xăng
234,180.000.000 đ,Kia,Morning,2012.0,90000.0,Tự động,Xăng
235,176.000.000 đ,Kia,Morning,2009.0,90000.0,Tự động,Xăng
236,525.000.000 đ,Toyota,Corolla Altis,2017.0,56000.0,Tự động,Xăng
237,638.000.000 đ,Kia,Seltos,2020.0,25000.0,Tự động,Xăng
238,45.000.000 đ,Daewoo,Matiz,2005.0,120000.0,Số sàn,Xăng
239,616.000.000 đ,Mitsubishi,Outlander,2018.0,73000.0,Tự động,Xăng
240,415.000.000 đ,Kia,Morning,2021.0,30000.0,Tự động,Xăng
241,435.000.000 đ,Ford,Everest,2014.0,85000.0,Tự động,Dầu
242,2.079.000.000 đ,BMW,X6,2018.0,27000.0,Tự động,Xăng
243,568.000.000 đ,Ford,Ranger,2019.0,79000.0,Tự động,Dầu
244,758.000.000 đ,Toyota,Camry,2019.0,87000.0,Tự động,Xăng
245,685.000.000 đ,Audi,Q5,2013.0,60500.0,Tự động,Xăng
246,3.299.000.000 đ,Lexus,RX,2021.0,44000.0,Tự động,Xăng
247,529.000.000 đ,Chevrolet,Trailblazer,2018.0,71000.0,Tự động,Xăng
248,485.000.000 đ,Mazda,6,2016.0,70000.0,Tự động,Xăng
249,265.000.000 đ,Chevrolet,Cruze,2017.0,62.0,Số sàn,Xăng
250,518.000.000 đ,Mitsubishi,Xpander,2020.0,67000.0,Tự động,Xăng
251,438.000.000 đ,Mazda,CX 5,2014.0,115000.0,Tự động,Xăng
252,508.000.000 đ,Mazda,3,2018.0,55000.0,Tự động,Xăng
253,425.000.000 đ,Toyota,Camry,2012.0,900000.0,Tự động,Xăng
254,355.000.000 đ,Hyundai,Accent,2018.0,74000.0,Số sàn,Xăng
255,535.000.000 đ,Ford,Ranger,2020.0,39000.0,Tự động,Dầu
256,2.499.000.000 đ,Mercedes Benz,GLC Class,2021.0,26000.0,Tự động,Xăng
257,415.000.000 đ,Hyundai,i20,2017.0,63000.0,Tự động,Xăng
258,590.000.000 đ,Toyota,Fortuner,2016.0,88000.0,Số sàn,Dầu
259,750.000.000 đ,Honda,CR V,2018.0,63000.0,Tự động,Xăng
260,163.000.000 đ,Kia,Picanto,2007.0,110000.0,Tự động,Xăng
261,429.000.000 đ,Toyota,Vios,2018.0,37000.0,Tự động,Xăng
262,1.359.000.000 đ,Mercedes Benz,GLC Class,2019.0,32000.0,Tự động,Xăng
263,408.000.000 đ,Mazda,BT 50,2016.0,68000.0,Tự động,Dầu
264,865.000.000 đ,Hyundai,Santa Fe,2019.0,30000.0,Tự động,Xăng
265,450.000.000 đ,Toyota,Vios,2019.0,36000.0,Tự động,Xăng
267,535.000.000 đ,BMW,5 Series,2010.0,55000.0,Tự động,Xăng
268,65.000.000 đ,Mazda,626,1994.0,10000.0,Số sàn,Xăng
269,385.000.000 đ,Toyota,Vios,2017.0,38000.0,Tự động,Xăng
270,588.000.000 đ,Ford,Ranger,2021.0,32000.0,Tự động,Dầu
271,585.000.000 đ,Kia,Sedona,2017.0,92000.0,Tự động,Xăng
272,628.000.000 đ,Kia,Sedona,2016.0,56000.0,Tự động,Dầu
273,366.000.000 đ,Toyota,Camry,2007.0,140000.0,Tự động,Xăng
274,620.000.000 đ,Mercedes Benz,CLA Class,2015.0,111111.0,Tự động,Xăng
275,499.000.000 đ,Hyundai,Accent,2022.0,10000.0,Tự động,Xăng
276,1.199.000.000 đ,Mercedes Benz,C Class,2020.0,47000.0,Tự động,Xăng
278,509.000.000 đ,Ford,Ranger,2019.0,62000.0,Số sàn,Dầu
279,370.000.000 đ,Hyundai,Grand i10,2020.0,36000.0,Tự động,Xăng
280,428.000.000 đ,Toyota,Innova,2015.0,90000.0,Số sàn,Xăng
281,448.000.000 đ,Honda,City,2019.0,34000.0,Tự động,Xăng
282,415.000.000 đ,Toyota,Vios,2018.0,60000.0,Tự động,Xăng
283,499.000.000 đ,Ford,Ranger,2016.0,114000.0,Tự động,Dầu
284,478.000.000 đ,Ford,Ranger,2016.0,62000.0,Tự động,Dầu
285,1.790.000.000 đ,Mercedes Benz,S Class,2016.0,80000.0,Tự động,Xăng
286,590.000.000 đ,Toyota,Fortuner,2016.0,70000.0,Tự động,Xăng
287,438.000.000 đ,Toyota,Yaris,2017.0,88000.0,Tự động,Xăng
288,740.000.000 đ,Hyundai,Tucson,2018.0,120000.0,Tự động,Xăng
289,498.000.000 đ,Ford,Ranger,2017.0,49000.0,Tự động,Dầu
290,1.189.000.000 đ,Mercedes Benz,E Class,2017.0,35000.0,Tự động,Xăng
291,768.000.000 đ,Kia,Sorento,2020.0,37999.0,Tự động,Xăng
292,639.000.000 đ,Kia,Seltos,2020.0,16800.0,Tự động,Xăng
293,398.000.000 đ,Ford,EcoSport,2017.0,65000.0,Tự động,Xăng
294,368.000.000 đ,Honda,CR V,2010.0,80000.0,Tự động,Xăng
295,285.000.000 đ,Hyundai,Grand i10,2020.0,50000.0,Số sàn,Xăng
296,1.469.000.000 đ,Kia,Carnival,2022.0,27000.0,Tự động,Dầu
297,250.000.000 đ,Hyundai,Grand i10,2017.0,65000.0,Số sàn,Xăng
298,368.000.000 đ,Toyota,Fortuner,2011.0,120000.0,Tự động,Xăng
299,589.000.000 đ,Mazda,BT 50,2021.0,35000.0,Tự động,Dầu
300,156.000.000 đ,Hyundai,Getz,2010.0,1200.0,Số sàn,Xăng
301,365.000.000 đ,Toyota,Innova,2013.0,100000.0,Tự động,Xăng
302,490.000.000 đ,Mazda,3,2019.0,48000.0,Tự động,Xăng
303,480.000.000 đ,Hyundai,Accent,2021.0,18000.0,Tự động,Xăng
304,690.000.000 đ,Toyota,Fortuner,2017.0,70000.0,Tự động,Xăng
305,499.999.000 đ,Hyundai,Accent,2022.0,25000.0,Tự động,Xăng
306,430.000.000 đ,Toyota,Hilux,2013.0,89000.0,Số sàn,Dầu
307,161.000.000 đ,Mitsubishi,Lancer,2005.0,220000.0,Tự động,Xăng
308,458.000.000 đ,Mazda,3,2016.0,58000.0,Tự động,Xăng
309,625.000.000 đ,Ford,Ranger,2017.0,72000.0,Tự động,Dầu
310,470.000.000 đ,Toyota,Camry,2011.0,30000.0,Tự động,Xăng
311,780.000.000 đ,Toyota,Innova,2020.0,13000.0,Tự động,Xăng
312,286.000.000 đ,Toyota,Vios,2016.0,68000.0,Số sàn,Xăng
313,648.000.000 đ,Kia,Optima,2021.0,29000.0,Tự động,Xăng
314,760.000.000 đ,Hyundai,Santa Fe,2018.0,51000.0,Tự động,Dầu
315,545.000.000 đ,Kia,Sedona,2015.0,105000.0,Tự động,Xăng
316,746.000.000 đ,Mazda,CX 5,2020.0,36000.0,Tự động,Xăng
317,695.000.000 đ,Audi,Q5,2014.0,60500.0,Tự động,Xăng
318,538.000.000 đ,Mazda,3,2019.0,30000.0,Tự động,Xăng
319,368.000.000 đ,Toyota,Vios,2018.0,72339.0,Tự động,Xăng
320,448.000.000 đ,Toyota,Innova,2016.0,80000.0,Số sàn,Xăng
321,408.000.000 đ,Kia,Rondo,2017.0,78000.0,Số sàn,Xăng
322,535.000.000 đ,Kia,Cerato,2020.0,54000.0,Tự động,Xăng
323,125.000.000 đ,Daewoo,Gentra,2008.0,120000.0,Số sàn,Xăng
324,408.000.000 đ,Mazda,2,2018.0,40000.0,Tự động,Xăng
325,200.000.000 đ,Kia,Morning,2010.0,137000.0,Tự động,Xăng
326,785.000.000 đ,Mazda,CX 5,2022.0,11000.0,Tự động,Xăng
327,1.010.000.000 đ,Hyundai,Santa Fe,2019.0,27000.0,Tự động,Dầu
328,350.000.000 đ,Volkswagen,Polo,2016.0,60000.0,Tự động,Xăng
329,849.000.000 đ,Mazda,CX 8,2020.0,28000.0,Tự động,Xăng
331,286.000.000 đ,Toyota,Yaris,2008.0,140000.0,Tự động,Xăng
332,435.000.000 đ,Honda,City,2018.0,60000.0,Tự động,Xăng
333,1.050.000.000 đ,Toyota,Fortuner,2022.0,33000.0,Tự động,Xăng
334,485.000.000 đ,Toyota,Corolla Altis,2017.0,65000.0,Tự động,Xăng
335,835.000.000 đ,Ford,Everest,2019.0,50500.0,Tự động,Dầu
336,4.600.000.000 đ,Porsche,Panamera,2019.0,14000.0,Tự động,Xăng
337,485.000.000 đ,Toyota,Venza,2009.0,68000.0,Tự động,Xăng
338,528.000.000 đ,Ford,Ranger,2017.0,68000.0,Tự động,Dầu
339,45.000.000 đ,Hyundai,Accent,2021.0,15000.0,Số sàn,Xăng
340,520.000.000 đ,Mitsubishi,Xpander,2019.0,56000.0,Tự động,Xăng
341,510.000.000 đ,Toyota,Fortuner,2014.0,125000.0,Tự động,Xăng
342,299.000.000 đ,Toyota,Vios,2010.0,103.0,Tự động,Xăng
343,465.000.000 đ,Ford,Ranger,2017.0,80000.0,Số sàn,Dầu
344,408.000.000 đ,Kia,Morning,2022.0,10000.0,Tự động,Xăng
345,374.000.000 đ,Toyota,Innova,2015.0,96000.0,Số sàn,Xăng
346,360.000.000 đ,Hyundai,i30,2012.0,90000.0,Tự động,Xăng
347,230.000.000 đ,Ford,Mondeo,2011.0,17000.0,Tự động,Xăng
348,190.000.000 đ,Lexus,LS,1992.0,90000.0,Tự động,Xăng
349,1.500.000.000 đ,Honda,Odyssey,2014.0,117000.0,Tự động,Xăng
350,1.299.000.000 đ,Kia,Carnival,2022.0,25000.0,Tự động,Xăng
